filename,sample_id,design_name,macro_count,clock,utilization,macro_placement,power_mesh,filler_insertion
2062-RISCY-b-1-c2-u0.8-m1-p3-f0,2062,RISCY-b,1,2,0.8,1,3,0
2030-RISCY-b-1-c2-u0.7-m3-p3-f0,2030,RISCY-b,1,2,0.7,3,3,0
2113-RISCY-b-1-c2-u0.9-m1-p6-f0,2113,RISCY-b,1,2,0.9,1,6,0
2482-RISCY-b-1-c5-u0.9-m3-p4-f1,2482,RISCY-b,1,5,0.9,3,4,1
2542-RISCY-b-1-c20-u0.8-m2-p1-f0,2542,RISCY-b,1,20,0.8,2,1,0
2171-RISCY-b-1-c2-u0.75-m2-p8-f1,2171,RISCY-b,1,2,0.75,2,8,1
2397-RISCY-b-1-c5-u0.75-m1-p6-f1,2397,RISCY-b,1,5,0.75,1,6,1
2122-RISCY-b-1-c2-u0.9-m2-p7-f0,2122,RISCY-b,1,2,0.9,2,7,0
2527-RISCY-b-1-c20-u0.75-m3-p2-f0,2527,RISCY-b,1,20,0.75,3,2,0
2323-RISCY-b-1-c5-u0.85-m1-p3-f0,2323,RISCY-b,1,5,0.85,1,3,0
2193-RISCY-b-1-c2-u0.8-m2-p6-f1,2193,RISCY-b,1,2,0.8,2,6,1
2441-RISCY-b-1-c5-u0.85-m1-p2-f1,2441,RISCY-b,1,5,0.85,1,2,1
2426-RISCY-b-1-c5-u0.8-m2-p3-f1,2426,RISCY-b,1,5,0.8,2,3,1
2299-RISCY-b-1-c5-u0.8-m1-p1-f0,2299,RISCY-b,1,5,0.8,1,1,0
2614-RISCY-b-1-c20-u0.7-m3-p5-f1,2614,RISCY-b,1,20,0.7,3,5,1
2665-RISCY-b-1-c20-u0.8-m3-p8-f1,2665,RISCY-b,1,20,0.8,3,8,1
2196-RISCY-b-1-c2-u0.8-m3-p1-f1,2196,RISCY-b,1,2,0.8,3,1,1
2086-RISCY-b-1-c2-u0.85-m1-p3-f0,2086,RISCY-b,1,2,0.85,1,3,0
2657-RISCY-b-1-c20-u0.8-m2-p8-f1,2657,RISCY-b,1,20,0.8,2,8,1
2641-RISCY-b-1-c20-u0.75-m3-p8-f1,2641,RISCY-b,1,20,0.75,3,8,1
2253-RISCY-b-1-c5-u0.7-m1-p1-f0,2253,RISCY-b,1,5,0.7,1,1,0
2405-RISCY-b-1-c5-u0.75-m2-p6-f1,2405,RISCY-b,1,5,0.75,2,6,1
2089-RISCY-b-1-c2-u0.85-m1-p6-f0,2089,RISCY-b,1,2,0.85,1,6,0
2029-RISCY-b-1-c2-u0.7-m3-p2-f0,2029,RISCY-b,1,2,0.7,3,2,0
2644-RISCY-b-1-c20-u0.8-m1-p3-f1,2644,RISCY-b,1,20,0.8,1,3,1
2230-RISCY-b-1-c2-u0.9-m1-p3-f1,2230,RISCY-b,1,2,0.9,1,3,1
2261-RISCY-b-1-c5-u0.7-m2-p3-f0,2261,RISCY-b,1,5,0.7,2,3,0
2578-RISCY-b-1-c20-u0.9-m1-p6-f0,2578,RISCY-b,1,20,0.9,1,6,0
2543-RISCY-b-1-c20-u0.8-m2-p2-f0,2543,RISCY-b,1,20,0.8,2,2,0
2314-RISCY-b-1-c5-u0.8-m3-p1-f0,2314,RISCY-b,1,5,0.8,3,1,0
2288-RISCY-b-1-c5-u0.75-m2-p6-f0,2288,RISCY-b,1,5,0.75,2,6,0
2546-RISCY-b-1-c20-u0.8-m2-p6-f0,2546,RISCY-b,1,20,0.8,2,6,0
2484-RISCY-b-1-c5-u0.9-m3-p6-f1,2484,RISCY-b,1,5,0.9,3,6,1
2297-RISCY-b-1-c5-u0.75-m3-p7-f0,2297,RISCY-b,1,5,0.75,3,7,0
2562-RISCY-b-1-c20-u0.85-m1-p6-f0,2562,RISCY-b,1,20,0.85,1,6,0
2464-RISCY-b-1-c5-u0.9-m1-p1-f1,2464,RISCY-b,1,5,0.9,1,1,1
2357-RISCY-b-1-c5-u0.9-m2-p6-f0,2357,RISCY-b,1,5,0.9,2,6,0
2432-RISCY-b-1-c5-u0.8-m3-p1-f1,2432,RISCY-b,1,5,0.8,3,1,1
2672-RISCY-b-1-c20-u0.85-m1-p7-f1,2672,RISCY-b,1,20,0.85,1,7,1
2107-RISCY-b-1-c2-u0.85-m3-p8-f0,2107,RISCY-b,1,2,0.85,3,8,0
2588-RISCY-b-1-c20-u0.9-m3-p2-f0,2588,RISCY-b,1,20,0.9,3,2,0
2530-RISCY-b-1-c20-u0.75-m3-p5-f0,2530,RISCY-b,1,20,0.75,3,5,0
2069-RISCY-b-1-c2-u0.8-m2-p2-f0,2069,RISCY-b,1,2,0.8,2,2,0
2136-RISCY-b-1-c2-u0.7-m1-p5-f1,2136,RISCY-b,1,2,0.7,1,5,1
2060-RISCY-b-1-c2-u0.8-m1-p1-f0,2060,RISCY-b,1,2,0.8,1,1,0
2243-RISCY-b-1-c2-u0.9-m2-p8-f1,2243,RISCY-b,1,2,0.9,2,8,1
2646-RISCY-b-1-c20-u0.8-m1-p5-f1,2646,RISCY-b,1,20,0.8,1,5,1
2414-RISCY-b-1-c5-u0.75-m3-p7-f1,2414,RISCY-b,1,5,0.75,3,7,1
2141-RISCY-b-1-c2-u0.7-m2-p2-f1,2141,RISCY-b,1,2,0.7,2,2,1
2232-RISCY-b-1-c2-u0.9-m1-p5-f1,2232,RISCY-b,1,2,0.9,1,5,1
2343-RISCY-b-1-c5-u0.85-m3-p8-f0,2343,RISCY-b,1,5,0.85,3,8,0
2690-RISCY-b-1-c20-u0.9-m2-p3-f1,2690,RISCY-b,1,20,0.9,2,3,1
2589-RISCY-b-1-c20-u0.9-m3-p4-f0,2589,RISCY-b,1,20,0.9,3,4,0
2654-RISCY-b-1-c20-u0.8-m2-p5-f1,2654,RISCY-b,1,20,0.8,2,5,1
2582-RISCY-b-1-c20-u0.9-m2-p3-f0,2582,RISCY-b,1,20,0.9,2,3,0
2503-RISCY-b-1-c20-u0.7-m3-p2-f0,2503,RISCY-b,1,20,0.7,3,2,0
2628-RISCY-b-1-c20-u0.75-m2-p3-f1,2628,RISCY-b,1,20,0.75,2,3,1
2074-RISCY-b-1-c2-u0.8-m2-p7-f0,2074,RISCY-b,1,2,0.8,2,7,0
2342-RISCY-b-1-c5-u0.85-m3-p7-f0,2342,RISCY-b,1,5,0.85,3,7,0
2175-RISCY-b-1-c2-u0.75-m3-p4-f1,2175,RISCY-b,1,2,0.75,3,4,1
2633-RISCY-b-1-c20-u0.75-m2-p8-f1,2633,RISCY-b,1,20,0.75,2,8,1
2302-RISCY-b-1-c5-u0.8-m1-p5-f0,2302,RISCY-b,1,5,0.8,1,5,0
2623-RISCY-b-1-c20-u0.75-m1-p6-f1,2623,RISCY-b,1,20,0.75,1,6,1
2331-RISCY-b-1-c5-u0.85-m2-p4-f0,2331,RISCY-b,1,5,0.85,2,4,0
2650-RISCY-b-1-c20-u0.8-m2-p1-f1,2650,RISCY-b,1,20,0.8,2,1,1
2505-RISCY-b-1-c20-u0.7-m3-p4-f0,2505,RISCY-b,1,20,0.7,3,4,0
2221-RISCY-b-1-c2-u0.85-m3-p2-f1,2221,RISCY-b,1,2,0.85,3,2,1
2082-RISCY-b-1-c2-u0.8-m3-p7-f0,2082,RISCY-b,1,2,0.8,3,7,0
2461-RISCY-b-1-c5-u0.85-m3-p6-f1,2461,RISCY-b,1,5,0.85,3,6,1
2490-RISCY-b-1-c20-u0.7-m1-p5-f0,2490,RISCY-b,1,20,0.7,1,5,0
2382-RISCY-b-1-c5-u0.7-m2-p7-f1,2382,RISCY-b,1,5,0.7,2,7,1
2364-RISCY-b-1-c5-u0.9-m3-p5-f0,2364,RISCY-b,1,5,0.9,3,5,0
2165-RISCY-b-1-c2-u0.75-m2-p2-f1,2165,RISCY-b,1,2,0.75,2,2,1
2449-RISCY-b-1-c5-u0.85-m2-p2-f1,2449,RISCY-b,1,5,0.85,2,2,1
2161-RISCY-b-1-c2-u0.75-m1-p6-f1,2161,RISCY-b,1,2,0.75,1,6,1
2338-RISCY-b-1-c5-u0.85-m3-p3-f0,2338,RISCY-b,1,5,0.85,3,3,0
2545-RISCY-b-1-c20-u0.8-m2-p5-f0,2545,RISCY-b,1,20,0.8,2,5,0
2625-RISCY-b-1-c20-u0.75-m1-p8-f1,2625,RISCY-b,1,20,0.75,1,8,1
2580-RISCY-b-1-c20-u0.9-m2-p1-f0,2580,RISCY-b,1,20,0.9,2,1,0
2104-RISCY-b-1-c2-u0.85-m3-p5-f0,2104,RISCY-b,1,2,0.85,3,5,0
2273-RISCY-b-1-c5-u0.7-m3-p7-f0,2273,RISCY-b,1,5,0.7,3,7,0
2325-RISCY-b-1-c5-u0.85-m1-p5-f0,2325,RISCY-b,1,5,0.85,1,5,0
2539-RISCY-b-1-c20-u0.8-m1-p6-f0,2539,RISCY-b,1,20,0.8,1,6,0
2572-RISCY-b-1-c20-u0.85-m2-p8-f0,2572,RISCY-b,1,20,0.85,2,8,0
2334-RISCY-b-1-c5-u0.85-m2-p7-f0,2334,RISCY-b,1,5,0.85,2,7,0
2557-RISCY-b-1-c20-u0.85-m1-p1-f0,2557,RISCY-b,1,20,0.85,1,1,0
2212-RISCY-b-1-c2-u0.85-m2-p1-f1,2212,RISCY-b,1,2,0.85,2,1,1
2219-RISCY-b-1-c2-u0.85-m2-p8-f1,2219,RISCY-b,1,2,0.85,2,8,1
2661-RISCY-b-1-c20-u0.8-m3-p4-f1,2661,RISCY-b,1,20,0.8,3,4,1
2419-RISCY-b-1-c5-u0.8-m1-p4-f1,2419,RISCY-b,1,5,0.8,1,4,1
2109-RISCY-b-1-c2-u0.9-m1-p2-f0,2109,RISCY-b,1,2,0.9,1,2,0
2348-RISCY-b-1-c5-u0.9-m1-p5-f0,2348,RISCY-b,1,5,0.9,1,5,0
2686-RISCY-b-1-c20-u0.9-m1-p5-f1,2686,RISCY-b,1,20,0.9,1,5,1
2442-RISCY-b-1-c5-u0.85-m1-p3-f1,2442,RISCY-b,1,5,0.85,1,3,1
2311-RISCY-b-1-c5-u0.8-m2-p7-f0,2311,RISCY-b,1,5,0.8,2,7,0
2679-RISCY-b-1-c20-u0.85-m2-p6-f1,2679,RISCY-b,1,20,0.85,2,6,1
2162-RISCY-b-1-c2-u0.75-m1-p7-f1,2162,RISCY-b,1,2,0.75,1,7,1
2081-RISCY-b-1-c2-u0.8-m3-p6-f0,2081,RISCY-b,1,2,0.8,3,6,0
2056-RISCY-b-1-c2-u0.75-m3-p5-f0,2056,RISCY-b,1,2,0.75,3,5,0
2517-RISCY-b-1-c20-u0.75-m1-p8-f0,2517,RISCY-b,1,20,0.75,1,8,0
2534-RISCY-b-1-c20-u0.8-m1-p1-f0,2534,RISCY-b,1,20,0.8,1,1,0
2466-RISCY-b-1-c5-u0.9-m1-p3-f1,2466,RISCY-b,1,5,0.9,1,3,1
2474-RISCY-b-1-c5-u0.9-m2-p4-f1,2474,RISCY-b,1,5,0.9,2,4,1
2052-RISCY-b-1-c2-u0.75-m3-p1-f0,2052,RISCY-b,1,2,0.75,3,1,0
2472-RISCY-b-1-c5-u0.9-m2-p2-f1,2472,RISCY-b,1,5,0.9,2,2,1
2436-RISCY-b-1-c5-u0.8-m3-p5-f1,2436,RISCY-b,1,5,0.8,3,5,1
2298-RISCY-b-1-c5-u0.75-m3-p8-f0,2298,RISCY-b,1,5,0.75,3,8,0
2658-RISCY-b-1-c20-u0.8-m3-p1-f1,2658,RISCY-b,1,20,0.8,3,1,1
2471-RISCY-b-1-c5-u0.9-m2-p1-f1,2471,RISCY-b,1,5,0.9,2,1,1
2287-RISCY-b-1-c5-u0.75-m2-p5-f0,2287,RISCY-b,1,5,0.75,2,5,0
2632-RISCY-b-1-c20-u0.75-m2-p7-f1,2632,RISCY-b,1,20,0.75,2,7,1
2295-RISCY-b-1-c5-u0.75-m3-p5-f0,2295,RISCY-b,1,5,0.75,3,5,0
2158-RISCY-b-1-c2-u0.75-m1-p3-f1,2158,RISCY-b,1,2,0.75,1,3,1
2080-RISCY-b-1-c2-u0.8-m3-p5-f0,2080,RISCY-b,1,2,0.8,3,5,0
2359-RISCY-b-1-c5-u0.9-m2-p8-f0,2359,RISCY-b,1,5,0.9,2,8,0
2447-RISCY-b-1-c5-u0.85-m1-p8-f1,2447,RISCY-b,1,5,0.85,1,8,1
2041-RISCY-b-1-c2-u0.75-m1-p6-f0,2041,RISCY-b,1,2,0.75,1,6,0
2058-RISCY-b-1-c2-u0.75-m3-p7-f0,2058,RISCY-b,1,2,0.75,3,7,0
2475-RISCY-b-1-c5-u0.9-m2-p5-f1,2475,RISCY-b,1,5,0.9,2,5,1
2084-RISCY-b-1-c2-u0.85-m1-p1-f0,2084,RISCY-b,1,2,0.85,1,1,0
2508-RISCY-b-1-c20-u0.7-m3-p7-f0,2508,RISCY-b,1,20,0.7,3,7,0
2622-RISCY-b-1-c20-u0.75-m1-p5-f1,2622,RISCY-b,1,20,0.75,1,5,1
2100-RISCY-b-1-c2-u0.85-m3-p1-f0,2100,RISCY-b,1,2,0.85,3,1,0
2697-RISCY-b-1-c20-u0.9-m3-p5-f1,2697,RISCY-b,1,20,0.9,3,5,1
2460-RISCY-b-1-c5-u0.85-m3-p5-f1,2460,RISCY-b,1,5,0.85,3,5,1
2373-RISCY-b-1-c5-u0.7-m1-p6-f1,2373,RISCY-b,1,5,0.7,1,6,1
2292-RISCY-b-1-c5-u0.75-m3-p1-f0,2292,RISCY-b,1,5,0.75,3,1,0
2362-RISCY-b-1-c5-u0.9-m3-p3-f0,2362,RISCY-b,1,5,0.9,3,3,0
2680-RISCY-b-1-c20-u0.85-m2-p7-f1,2680,RISCY-b,1,20,0.85,2,7,1
2281-RISCY-b-1-c5-u0.75-m1-p7-f0,2281,RISCY-b,1,5,0.75,1,7,0
2191-RISCY-b-1-c2-u0.8-m2-p4-f1,2191,RISCY-b,1,2,0.8,2,4,1
2144-RISCY-b-1-c2-u0.7-m2-p5-f1,2144,RISCY-b,1,2,0.7,2,5,1
2391-RISCY-b-1-c5-u0.7-m3-p8-f1,2391,RISCY-b,1,5,0.7,3,8,1
2346-RISCY-b-1-c5-u0.9-m1-p3-f0,2346,RISCY-b,1,5,0.9,1,3,0
2277-RISCY-b-1-c5-u0.75-m1-p3-f0,2277,RISCY-b,1,5,0.75,1,3,0
2085-RISCY-b-1-c2-u0.85-m1-p2-f0,2085,RISCY-b,1,2,0.85,1,2,0
2645-RISCY-b-1-c20-u0.8-m1-p4-f1,2645,RISCY-b,1,20,0.8,1,4,1
2619-RISCY-b-1-c20-u0.75-m1-p2-f1,2619,RISCY-b,1,20,0.75,1,2,1
2255-RISCY-b-1-c5-u0.7-m1-p4-f0,2255,RISCY-b,1,5,0.7,1,4,0
2691-RISCY-b-1-c20-u0.9-m2-p4-f1,2691,RISCY-b,1,20,0.9,2,4,1
2571-RISCY-b-1-c20-u0.85-m2-p7-f0,2571,RISCY-b,1,20,0.85,2,7,0
2516-RISCY-b-1-c20-u0.75-m1-p7-f0,2516,RISCY-b,1,20,0.75,1,7,0
2238-RISCY-b-1-c2-u0.9-m2-p3-f1,2238,RISCY-b,1,2,0.9,2,3,1
2206-RISCY-b-1-c2-u0.85-m1-p3-f1,2206,RISCY-b,1,2,0.85,1,3,1
2430-RISCY-b-1-c5-u0.8-m2-p7-f1,2430,RISCY-b,1,5,0.8,2,7,1
2063-RISCY-b-1-c2-u0.8-m1-p4-f0,2063,RISCY-b,1,2,0.8,1,4,0
2378-RISCY-b-1-c5-u0.7-m2-p3-f1,2378,RISCY-b,1,5,0.7,2,3,1
2596-RISCY-b-1-c20-u0.7-m1-p3-f1,2596,RISCY-b,1,20,0.7,1,3,1
2535-RISCY-b-1-c20-u0.8-m1-p2-f0,2535,RISCY-b,1,20,0.8,1,2,0
2568-RISCY-b-1-c20-u0.85-m2-p4-f0,2568,RISCY-b,1,20,0.85,2,4,0
2333-RISCY-b-1-c5-u0.85-m2-p6-f0,2333,RISCY-b,1,5,0.85,2,6,0
2626-RISCY-b-1-c20-u0.75-m2-p1-f1,2626,RISCY-b,1,20,0.75,2,1,1
2678-RISCY-b-1-c20-u0.85-m2-p5-f1,2678,RISCY-b,1,20,0.85,2,5,1
2055-RISCY-b-1-c2-u0.75-m3-p4-f0,2055,RISCY-b,1,2,0.75,3,4,0
2044-RISCY-b-1-c2-u0.75-m2-p1-f0,2044,RISCY-b,1,2,0.75,2,1,0
2146-RISCY-b-1-c2-u0.7-m2-p7-f1,2146,RISCY-b,1,2,0.7,2,7,1
2528-RISCY-b-1-c20-u0.75-m3-p3-f0,2528,RISCY-b,1,20,0.75,3,3,0
2669-RISCY-b-1-c20-u0.85-m1-p4-f1,2669,RISCY-b,1,20,0.85,1,4,1
2500-RISCY-b-1-c20-u0.7-m2-p7-f0,2500,RISCY-b,1,20,0.7,2,7,0
2312-RISCY-b-1-c5-u0.8-m2-p8-f0,2312,RISCY-b,1,5,0.8,2,8,0
2544-RISCY-b-1-c20-u0.8-m2-p3-f0,2544,RISCY-b,1,20,0.8,2,3,0
2105-RISCY-b-1-c2-u0.85-m3-p6-f0,2105,RISCY-b,1,2,0.85,3,6,0
2335-RISCY-b-1-c5-u0.85-m2-p8-f0,2335,RISCY-b,1,5,0.85,2,8,0
2576-RISCY-b-1-c20-u0.9-m1-p4-f0,2576,RISCY-b,1,20,0.9,1,4,0
2358-RISCY-b-1-c5-u0.9-m2-p7-f0,2358,RISCY-b,1,5,0.9,2,7,0
2112-RISCY-b-1-c2-u0.9-m1-p5-f0,2112,RISCY-b,1,2,0.9,1,5,0
2337-RISCY-b-1-c5-u0.85-m3-p1-f0,2337,RISCY-b,1,5,0.85,3,1,0
2440-RISCY-b-1-c5-u0.85-m1-p1-f1,2440,RISCY-b,1,5,0.85,1,1,1
2666-RISCY-b-1-c20-u0.85-m1-p1-f1,2666,RISCY-b,1,20,0.85,1,1,1
2586-RISCY-b-1-c20-u0.9-m2-p7-f0,2586,RISCY-b,1,20,0.9,2,7,0
2383-RISCY-b-1-c5-u0.7-m2-p8-f1,2383,RISCY-b,1,5,0.7,2,8,1
2168-RISCY-b-1-c2-u0.75-m2-p5-f1,2168,RISCY-b,1,2,0.75,2,5,1
2592-RISCY-b-1-c20-u0.9-m3-p7-f0,2592,RISCY-b,1,20,0.9,3,7,0
2598-RISCY-b-1-c20-u0.7-m1-p5-f1,2598,RISCY-b,1,20,0.7,1,5,1
2610-RISCY-b-1-c20-u0.7-m3-p1-f1,2610,RISCY-b,1,20,0.7,3,1,1
2684-RISCY-b-1-c20-u0.9-m1-p3-f1,2684,RISCY-b,1,20,0.9,1,3,1
2439-RISCY-b-1-c5-u0.8-m3-p8-f1,2439,RISCY-b,1,5,0.8,3,8,1
2138-RISCY-b-1-c2-u0.7-m1-p7-f1,2138,RISCY-b,1,2,0.7,1,7,1
2139-RISCY-b-1-c2-u0.7-m1-p8-f1,2139,RISCY-b,1,2,0.7,1,8,1
2087-RISCY-b-1-c2-u0.85-m1-p4-f0,2087,RISCY-b,1,2,0.85,1,4,0
2143-RISCY-b-1-c2-u0.7-m2-p4-f1,2143,RISCY-b,1,2,0.7,2,4,1
2388-RISCY-b-1-c5-u0.7-m3-p5-f1,2388,RISCY-b,1,5,0.7,3,5,1
2247-RISCY-b-1-c2-u0.9-m3-p4-f1,2247,RISCY-b,1,2,0.9,3,4,1
2501-RISCY-b-1-c20-u0.7-m2-p8-f0,2501,RISCY-b,1,20,0.7,2,8,0
2154-RISCY-b-1-c2-u0.7-m3-p7-f1,2154,RISCY-b,1,2,0.7,3,7,1
2308-RISCY-b-1-c5-u0.8-m2-p4-f0,2308,RISCY-b,1,5,0.8,2,4,0
2072-RISCY-b-1-c2-u0.8-m2-p5-f0,2072,RISCY-b,1,2,0.8,2,5,0
2301-RISCY-b-1-c5-u0.8-m1-p4-f0,2301,RISCY-b,1,5,0.8,1,4,0
2233-RISCY-b-1-c2-u0.9-m1-p6-f1,2233,RISCY-b,1,2,0.9,1,6,1
2227-RISCY-b-1-c2-u0.85-m3-p8-f1,2227,RISCY-b,1,2,0.85,3,8,1
2579-RISCY-b-1-c20-u0.9-m1-p7-f0,2579,RISCY-b,1,20,0.9,1,7,0
2320-RISCY-b-1-c5-u0.8-m3-p8-f0,2320,RISCY-b,1,5,0.8,3,8,0
2407-RISCY-b-1-c5-u0.75-m2-p8-f1,2407,RISCY-b,1,5,0.75,2,8,1
2234-RISCY-b-1-c2-u0.9-m1-p7-f1,2234,RISCY-b,1,2,0.9,1,7,1
2256-RISCY-b-1-c5-u0.7-m1-p5-f0,2256,RISCY-b,1,5,0.7,1,5,0
2434-RISCY-b-1-c5-u0.8-m3-p3-f1,2434,RISCY-b,1,5,0.8,3,3,1
2371-RISCY-b-1-c5-u0.7-m1-p4-f1,2371,RISCY-b,1,5,0.7,1,4,1
2408-RISCY-b-1-c5-u0.75-m3-p1-f1,2408,RISCY-b,1,5,0.75,3,1,1
2520-RISCY-b-1-c20-u0.75-m2-p3-f0,2520,RISCY-b,1,20,0.75,2,3,0
2377-RISCY-b-1-c5-u0.7-m2-p2-f1,2377,RISCY-b,1,5,0.7,2,2,1
2659-RISCY-b-1-c20-u0.8-m3-p2-f1,2659,RISCY-b,1,20,0.8,3,2,1
2093-RISCY-b-1-c2-u0.85-m2-p2-f0,2093,RISCY-b,1,2,0.85,2,2,0
2038-RISCY-b-1-c2-u0.75-m1-p3-f0,2038,RISCY-b,1,2,0.75,1,3,0
2402-RISCY-b-1-c5-u0.75-m2-p3-f1,2402,RISCY-b,1,5,0.75,2,3,1
2618-RISCY-b-1-c20-u0.75-m1-p1-f1,2618,RISCY-b,1,20,0.75,1,1,1
2540-RISCY-b-1-c20-u0.8-m1-p7-f0,2540,RISCY-b,1,20,0.8,1,7,0
2585-RISCY-b-1-c20-u0.9-m2-p6-f0,2585,RISCY-b,1,20,0.9,2,6,0
